league,slate_date,game_date,game_id,game_type,home_team_code,away_team_code,player_id,player_name,prop_type,market_key,line,prob_over,prob_under,fair_odds_over_american,fair_odds_under_american,model_pick_side,model_pick_prob,prediction_source_file,generated_at_utc
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,641355,Cody Bellinger,hits,batter_hits,0.5,0.492371,0.507629,103,-103,under,0.507629,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,641355,Cody Bellinger,hits_runs_rbis,batter_h+r+rbi,1.5,0.46611,0.53389,115,-115,under,0.53389,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,641355,Cody Bellinger,singles,batter_singles,0.5,0.459048,0.540952,118,-118,under,0.540952,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,641355,Cody Bellinger,total_bases,batter_bases,1.5,0.41698,0.58302,140,-140,under,0.58302,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,608369,Corey Seager,hits,batter_hits,0.5,0.584011,0.415989,-140,140,over,0.584011,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,608369,Corey Seager,hits_runs_rbis,batter_h+r+rbi,1.5,0.568749,0.431251,-132,132,over,0.568749,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,608369,Corey Seager,singles,batter_singles,0.5,0.571986,0.428014,-134,134,over,0.571986,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,608369,Corey Seager,total_bases,batter_bases,1.5,0.503095,0.496905,-101,101,over,0.503095,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,643376,Danny Jansen,hits,batter_hits,0.5,0.423722,0.576278,136,-136,under,0.576278,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,643376,Danny Jansen,singles,batter_singles,0.5,0.477526,0.522474,109,-109,under,0.522474,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,643376,Danny Jansen,total_bases,batter_bases,0.5,0.525747,0.474253,-111,111,over,0.525747,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,694497,Evan Carter,hits,batter_hits,0.5,0.459536,0.540464,118,-118,under,0.540464,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,694497,Evan Carter,singles,batter_singles,0.5,0.540952,0.459048,-118,118,over,0.540952,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,694497,Evan Carter,total_bases,batter_bases,0.5,0.611479,0.388521,-157,157,over,0.611479,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,677649,Ezequiel Duran,hits,batter_hits,0.5,0.487577,0.512423,105,-105,under,0.512423,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,677649,Ezequiel Duran,singles,batter_singles,0.5,0.508955,0.491045,-104,104,over,0.508955,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,677649,Ezequiel Duran,total_bases,batter_bases,0.5,0.567817,0.432183,-131,131,over,0.567817,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,683004,Jack Leiter,outs_recorded,pitcher_outs,16.5,0.328576,0.671424,204,-204,under,0.671424,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,683004,Jack Leiter,strikeouts_pitching,pitcher_strikeouts,5.5,0.43538,0.56462,130,-130,under,0.56462,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
