player_id,game_id,team_id,opponent_id,is_home,game_date,season,season_5on5_icetime_per_game,season_5on5_shifts_per_game,szn_toi_per_game_5on5,szn_toi_per_game_pp,szn_toi_per_game_pk,szn_shifts_per_game_pp,szn_shifts_per_game_pk,d5_sog_per60,d10_sog_per60,d20_sog_per60,attempts_d10_per60,rest_days,b2b_flag,pace_matchup_index
8478403,2025020710,54,19,True,2026-01-10,2025,,,17.1929824561403,3.35740740740741,1.82111111111111,2.94444444444444,2.66666666666667,,,,,2,False,1.08097075295581830000
8478407,2025020706,55,12,False,2026-01-10,2025,,,18.8058333333333,2.95526315789474,0.46875,3,1.25,,,,,2,False,1.01545737398879900000
8478413,2025020701,7,24,True,2026-01-10,2025,,,10.2875,0.533333333333333,1.88541666666667,1.5,2.5625,,,,,2,False,0.91718730553827006962
8478416,2025020705,14,4,False,2026-01-10,2025,,,15.8166666666667,0.558333333333333,3.3030303030303,1.625,5.09090909090909,,,,,4,False,0.94994399502177971496
8478420,2025020700,25,28,False,2026-01-10,2025,,,15.8972222222222,3.80902777777778,0.352941176470588,2.83333333333333,1.41176470588235,,,,,3,False,1.04821406347230870000
8478421,2025020704,13,9,False,2026-01-10,2025,,,11.1596153846154,0.5,0.539583333333333,1.2,1.3125,,,,,2,False,0.94994399502177971496
8478424,2025020701,24,7,False,2026-01-10,2025,,,8.99166666666667,0.505555555555556,0.208333333333333,1.33333333333333,1,,,,,2,False,1.11372744243932790000
8478427,2025020706,12,55,True,2026-01-10,2025,,,14.5159420289855,3.69492753623188,1.89242424242424,3.34782608695652,2.5,,,,,2,False,0.94994399502177971496
8478434,2025020710,54,19,True,2026-01-10,2025,,,10.4958333333333,0.261904761904762,1.00625,1,1.75,,,,,2,False,1.08097075295581830000
8478438,2025020698,5,20,True,2026-01-10,2025,,,12.4855072463768,1.58235294117647,0.196666666666667,2.35294117647059,1.2,,,,,2,False,0.94994399502177971496
8478439,2025020705,4,14,True,2026-01-10,2025,,,14.6413043478261,3.31515151515151,1.395,3.95454545454545,2.4,,,,,2,False,0.94994399502177971496
8478443,2025020702,10,23,True,2026-01-10,2025,,,16.6566666666667,0.183333333333333,2.94833333333333,1,4.8,,,,,2,False,1.11372744243932790000
8478444,2025020702,23,10,False,2026-01-10,2025,,,15.0423611111111,3.51666666666667,1.0719298245614,3,1.84210526315789,,,,,2,False,1.11372744243932790000
8478445,2025020708,2,30,False,2026-01-10,2025,,,17.3965277777778,3.85833333333333,0.515625,3.36363636363636,1.5,,,,,2,False,0.98270068450528936031
8478449,2025020700,25,28,False,2026-01-10,2025,,,13.5734848484848,3.13636363636364,1.04705882352941,2.72727272727273,2.11764705882353,,,,,3,False,1.04821406347230870000
