lane,game_date,game_pk,player_id,player_name,line,retained_original_p_over,retained_original_selected_side,replayed_p_over,replayed_selected_side,absolute_difference,exact_match,numerically_equivalent,selected_side_agreement,source_feature_artifact,feature_state_status,anchor_classification
HITS05,2026-08-03,824647,691718,Pete Crow-Armstrong,0.5,0.598973,over,0.6015959166635731,over,0.0026229166635731715,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,663538,Nico Hoerner,0.5,0.741004,over,0.7366314964751817,over,0.0043725035248183275,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,825095,682998,Corbin Carroll,0.5,0.630759,over,0.6450692967733872,over,0.014310296773387243,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,605141,Mookie Betts,0.5,0.538002,over,0.5423131612230995,over,0.004311161223099491,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,665804,Miguel Amaya,0.5,0.562847,over,0.5632190503088388,over,0.0003720503088388005,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,683737,Michael Busch,0.5,0.609312,over,0.6108090686319023,over,0.001497068631902354,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,571970,Max Muncy,0.5,0.563751,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,824647,663656,Kyle Tucker,0.5,0.520523,over,0.5295656627634601,over,0.009042662763460108,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,664023,Ian Happ,0.5,0.535957,over,0.5305921322839768,over,0.005364867716023181,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,518692,Freddie Freeman,0.5,0.759532,over,0.759958475553426,over,0.00042647555342600896,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,672613,Eliezer Alfonzo,0.5,0.535143,over,0.5375978635219737,over,0.0024548635219736603,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,500743,Miguel Rojas,0.5,0.471687,under,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS15_UNDER,2026-08-03,825095,665487,Fernando Tatis Jr.,1.5,0.448887,under,0.4491217889789371,under,0.00023478897893713935,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,825095,672515,Gabriel Moreno,0.5,0.609257,over,0.6129282044228035,over,0.0036712044228034424,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,825095,657757,Gavin Sheets,0.5,0.503631,over,0.5054625709628833,over,0.0018315709628832222,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,825095,593428,Xander Bogaerts,0.5,0.582438,over,0.5860065794909439,over,0.003568579490943913,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS15_UNDER,2026-08-03,825095,664034,Ty France,1.5,0.522554,over,0.5305922332440909,over,0.00803823324409092,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,825095,664034,Ty France,0.5,0.752743,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,825095,694374,Tim Tawa,0.5,0.422492,under,0.42276988906480245,under,0.00027788906480247233,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
