slate_date,frozen_identity,matched_result_identity,join_count,frozen_player,official_player,join_decision
2026-07-29,2026-07-29|823837|664761|Total Bases|1.5,823837|664761,1,Alec Bohm,Alec Bohm,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|669016|Total Bases|1.5,823837|669016,1,Brandon Marsh,Brandon Marsh,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|669364|Total Bases|1.5,823837|669364,1,Xavier Edwards,Xavier Edwards,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|672640|Total Bases|1.5,823837|672640,1,Otto Lopez,Otto Lopez,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|681082|Total Bases|1.5,823837|681082,1,Bryson Stott,Bryson Stott,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|681715|Total Bases|1.5,823837|681715,1,Heriberto Hernández,Heriberto Hernández,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|687282|Total Bases|1.5,823837|687282,1,Gabriel Rincones Jr.,Gabriel Rincones Jr.,NO_ACTION_ZERO_PA
2026-07-29,2026-07-29|823837|691594|Total Bases|1.5,823837|691594,1,Javier Sanoja,Javier Sanoja,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|702222|Total Bases|1.5,823837|702222,1,Justin Crawford,Justin Crawford,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|518692|Total Bases|1.5,823924|518692,1,Freddie Freeman,Freddie Freeman,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|571970|Total Bases|1.5,823924|571970,1,Max Muncy,Max Muncy,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|605141|Total Bases|1.5,823924|605141,1,Mookie Betts,Mookie Betts,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|606192|Total Bases|1.5,823924|606192,1,Teoscar Hernández,Teoscar Hernández,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|608701|Total Bases|1.5,823924|608701,1,Rob Refsnyder,Rob Refsnyder,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|647304|Total Bases|1.5,823924|647304,1,Josh Naylor,Josh Naylor,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|660271|Total Bases|1.5,823924|660271,1,Shohei Ohtani,Shohei Ohtani,EXACT_ONE_TO_ONE_MATCH
