scope_type,scope,games,mean_raw_forecast,mean_actual_total,mean_run_residual,median_run_residual,mae,rmse
DATE,2025-09-25,12,8.315910353025748,8.166666666666666,-0.14924368635908167,-0.6986285320517132,3.323191751729825,4.063591321850132
DATE,2025-09-26,15,8.476714808972874,8.933333333333334,0.45661852436045935,-0.9195693305235739,3.3760828872652215,4.065098627128425
DATE,2025-09-27,15,8.428094034535256,6.733333333333333,-1.6947607012019241,-2.255083749133103,2.625617877176826,2.9099180032101666
DATE,2025-09-28,15,8.578467536551434,8.0,-0.5784675365514327,-1.4813770273654043,3.965437541539987,4.777055070103733
DATE,2025-09-30,3,8.334418791378264,3.6666666666666665,-4.6677521247115985,-4.566672083776297,4.6677521247115985,4.679011303258528
DATE,2026-03-25,1,8.377693785914028,7.0,-1.377693785914028,-1.377693785914028,1.377693785914028,1.377693785914028
DATE,2026-03-26,11,8.364376004950735,10.090909090909092,1.7265330859583552,1.8315842149265809,4.836924151649813,5.565089466953028
DATE,2026-03-27,8,8.313107347913528,5.875,-2.438107347913528,-2.1435956539203165,2.512982185404824,3.169287733826947
DATE,2026-03-28,15,8.365728756162154,8.933333333333334,0.5676045771711796,-0.30435734103843615,3.5004680694727943,4.473091025696995
DATE,2026-03-29,12,8.26403605744956,10.25,1.9859639425504387,0.39168504956353756,3.721606197306217,4.856512179404349
DATE,2026-03-30,15,8.438996910778231,8.133333333333333,-0.3056635774448972,-1.979698785679405,4.102592576950037,4.849670647672358
DATE,2026-03-31,14,8.484630132562845,7.928571428571429,-0.5560587039914168,-0.48882460078431667,3.0878051747581585,3.450625666273013
DATE,2026-04-01,15,8.42579906007708,8.466666666666667,0.040867606589585985,-0.04513144300763905,3.4304278449572987,4.877076387846248
DATE,2026-04-02,3,8.712455240941667,11.333333333333334,2.6208780923916666,1.0026406852763623,4.622415278462294,5.980080189494164
DATE,2026-04-03,14,8.86762134221001,9.285714285714286,0.41809294350427756,0.3416866772392906,3.558118764663786,4.519028509582232
DATE,2026-04-04,15,8.807908494216887,8.066666666666666,-0.7412418275502198,-0.8407665260192871,4.047247217630913,4.984131179682363
