feature,population,stage1_frozen_mae_delta,stage3_refit_mae_delta,stage1_frozen_rmse_delta,stage3_refit_rmse_delta,stage1_frozen_crps_delta,stage3_refit_crps_delta,stage1_frozen_brier_delta,stage3_refit_brier_delta,stage1_frozen_log_loss_delta,stage3_refit_log_loss_delta,stage1_frozen_absolute_bias_delta,stage3_refit_actual_minus_forecast_bias_delta,upstream_role_preserved
home_starter_ra9,2026_LATE_HOLDOUT,-0.0016338018781310026,-0.0003825025156083406,-0.006503502181566034,-0.003077940592933537,-0.003447058758712096,-0.0006609948411666622,-0.00036248906574701256,-2.9793655683646447e-05,-0.000889939129935291,-6.021221626117956e-05,-0.013518942383288879,0.00630696049195445,True
away_starter_ra9,2026_LATE_HOLDOUT,0.0025680371431890947,0.0020036677362953448,0.002010661671055125,0.0030738119368844963,0.0013139973299209906,0.0018602628599295734,0.00016156362236777189,0.000205531957379268,0.0003504465392452083,0.0004633406652887473,-0.007227762808960314,1.0674297435842028e-05,True
home_starter_prior_starts,2026_LATE_HOLDOUT,-0.004339936170778547,0.0017475717884414266,0.04109086239337767,-0.0038187130005633563,0.023205386210781498,-0.003979282787342608,0.0020114402539415377,-0.0006321344489373659,0.005225653554944754,-0.0014702879499660648,0.2225774504094511,-0.050778496178283894,True
away_starter_prior_starts,2026_LATE_HOLDOUT,0.0007956845347378838,0.001809062846795051,0.0031360566220772768,0.0007075352325403017,0.0020769467955594756,0.0006482839633639159,0.00022783561852388057,9.887028966304445e-05,0.0005599140218620624,0.00022821048979426717,0.01519307928062974,-0.0022867905454458937,True
home_expected_outs,2026_LATE_HOLDOUT,-0.006790464214379899,-0.006379193455244181,-0.0034463985973802735,-0.00518038742084137,-0.004032478017219621,-0.005476795626261577,-0.0005382215949630287,-0.0007665459585506351,-0.0012486052746482068,-0.0017972076229454403,0.006973191330251094,-0.0139142991971003,True
away_expected_outs,2026_LATE_HOLDOUT,-0.00023555240746775397,-0.006781345372645298,-0.0010386280530383374,-0.0032077149725653342,-0.0007193601016450835,-0.0028902752608139792,-8.120253903987074e-05,-0.00042779154404279374,-0.00018187532196434208,-0.0009931549173761711,-0.008162962539598029,0.0003704528690975373,True
home_workload_uncertainty_outs,2026_LATE_HOLDOUT,0.0013500165000106534,0.002066529042412224,-0.001562373787557192,0.0009607756438123616,-0.001271987770631533,0.0005052065096897707,-4.912740318882558e-05,0.00014723682009068484,-0.0001348939226467616,0.00034126465638584236,-0.00713855983003886,0.002670575841399514,True
away_workload_uncertainty_outs,2026_LATE_HOLDOUT,-0.000116932286502891,-2.3246502689033832e-05,-0.00037236407253349313,-8.391120086148618e-05,-0.00027234199121961566,-8.649291062701181e-05,-3.616124760386086e-05,-1.6483107300457878e-05,-9.157829530337391e-05,-4.388920210673941e-05,-0.0005503718922198475,0.00029599475181840695,True
home_bullpen_ra9,2026_LATE_HOLDOUT,-0.0008930721433082489,-0.0006756617166936429,0.0019810667360271594,-0.006696248348412759,0.0005219330224490726,-0.0039244311630501905,-5.554570761381883e-05,-0.0003731745785038043,-0.0002148679039076784,-0.0009096305196987231,0.0026065421261277644,-0.026391529402883473,True
away_bullpen_ra9,2026_LATE_HOLDOUT,0.0003857153174440242,0.001556914902460349,0.001382893906794358,-0.0017782997484054874,0.0008640712259526673,-0.0009708486245152415,6.656639650248763e-05,-8.51229938431397e-05,0.00016387662794303814,-0.00023786919674417817,-0.0019817971177468197,-0.013890659071278288,True
home_bullpen_likely_available_reliever_count,2026_LATE_HOLDOUT,-0.003261614685804215,-0.005749348125546394,-0.010489359123543096,-0.0036572729546691107,-0.006158437799606453,-0.0023570532946717293,-0.0006383052995938276,-0.00027426749939207795,-0.0015511077473481238,-0.000662181961075814,-0.03905694470432053,0.008548979054170291,True
away_bullpen_likely_available_reliever_count,2026_LATE_HOLDOUT,-0.0003102933667888941,-3.9978486963132553e-05,0.0024253780867340424,3.695733466724249e-05,0.001226660876625374,-0.00014365079901423883,0.00011537105819384164,-7.530634265479064e-06,0.00026326486736505395,-4.9457828320997876e-05,0.0123351119675984,-0.0019500747233874849,True
home_bullpen_recent_innings_burden,2026_LATE_HOLDOUT,0.00011197588239264533,-1.536929849255131e-05,4.296726359243053e-05,0.00023308171811464717,4.437895935849312e-05,0.00015768536689897417,3.554096240032667e-06,1.3061257510993407e-05,1.0388412874484665e-05,3.459838101216306e-05,3.552088399128017e-05,0.0012806283077358982,True
away_bullpen_recent_innings_burden,2026_LATE_HOLDOUT,-0.0016637001481933922,-0.0008114389280637901,-0.0006624947615803123,-0.0013430884592731118,-0.0003857888581890734,-0.0005719427277499634,-7.577479655709873e-05,-6.922296376707382e-05,-0.0001588051150706038,-0.00014579171861339724,0.001413713508109593,-0.0030891846164797787,True
strict_prior_total_run_factor,2026_LATE_HOLDOUT,0.028450104336317228,0.003962157914320752,0.04422275755701399,0.045359147612245465,0.019281518425304345,0.02032659265792658,0.0012834129947328354,0.0013620777079351165,0.002577211572622584,0.0030150982489631772,-0.05587452105206958,0.06870582075043807,True
park_history_depth,2026_LATE_HOLDOUT,0.15192241167239828,0.08060358372004783,-0.02416098632014929,-0.01605575548485838,-0.013708002318260082,-0.006960793695913736,0.0003756105625630224,0.0001760683170780597,-0.0004371142363762681,-0.0003473235969017052,-0.30235274250261424,-0.48889296963780837,True
game_number,2026_LATE_HOLDOUT,-0.0017392256021362407,-0.0015672173635441489,-0.004115426894788499,-0.004359131227968049,-0.0023519696228579967,-0.0024425904304119506,-0.0002300190723074358,-0.00023656867379140412,-0.0005303990824232496,-0.0005430672341720788,0.001974534987547183,0.00028705046033739023,True
league_total,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.007461465875917117,0.0002429816467013346,0.01606564919064013,0.0022439640995335353,0.008906086383141165,0.0015136490816103354,0.0011075944507398516,0.0001869625451654533,0.0028277532724888532,0.00048377173114422245,0.13985220509103657,0.01872124344637721,True
