row_type,feature,pitcher_id,games,comparison,within_pitcher_pearson,within_pitcher_month_pearson,within_pitcher_date_and_quality_controlled_pearson,within_pitcher_direct_signal,count_actual_pearson,mean_within_pitcher_count_change,count_raw_residual_pearson,count_repaired_residual_pearson,count_quality_pearson
PITCHER,home_starter_prior_starts,657746,52,final_total,,,,ABSENT,-0.15954265719798683,2.0,-0.13841703534043426,-0.17859394204106502,0.3740998177652062
PITCHER,home_starter_prior_starts,660271,28,final_total,,,,ABSENT,-0.013865011445443862,1.7777777777777777,0.08522126376122473,0.029485597309812994,0.3723007209803042
PITCHER,home_starter_prior_starts,661563,22,final_total,,,,ABSENT,-0.25540650880110255,1.9047619047619047,-0.25726571565707096,-0.2787082014418947,0.6037435743798456
PITCHER,home_starter_prior_starts,663362,16,final_total,,,,ABSENT,0.5955766856767623,2.3333333333333335,0.6069588352453664,0.5962591605750556,-0.13380165266310023
PITCHER,home_starter_prior_starts,663372,32,final_total,,,,ABSENT,0.14400170931572015,1.935483870967742,0.15775837728669315,0.10774275591311859,-0.5139193552794566
PITCHER,home_starter_prior_starts,663436,27,final_total,,,,ABSENT,-0.218333247925046,2.0384615384615383,-0.2080795166371984,-0.22405686652008494,0.08971155148051631
PITCHER,home_starter_prior_starts,663460,17,final_total,,,,ABSENT,-0.005758403381522766,1.875,0.04592527173929866,0.0037180522972990494,0.020384121145637556
PITCHER,home_starter_prior_starts,663474,12,final_total,,,,ABSENT,0.37146139951687906,1.5454545454545454,0.3689231724878594,0.36870449163617364,0.23862406381709791
PITCHER,home_starter_prior_starts,663554,32,final_total,,,,ABSENT,-0.23809354434897445,1.967741935483871,-0.20608332219485548,-0.22895873433597108,-0.260785878876262
PITCHER,home_starter_prior_starts,663556,19,final_total,,,,ABSENT,0.1911938714489146,2.2222222222222223,0.30340733409226384,0.274525016900734,0.5972746037302644
PITCHER,home_starter_prior_starts,663559,35,final_total,,,,ABSENT,0.057154569873380565,1.9411764705882353,0.09543020624662928,0.06740904813794882,-0.2122639495282078
PITCHER,home_starter_prior_starts,663567,18,final_total,,,,ABSENT,-0.3482059070098674,1.8823529411764706,-0.126218726547459,-0.1992768085600658,0.33972007174280755
PITCHER,home_starter_prior_starts,663568,13,final_total,,,,ABSENT,-0.07992865933955892,2.1666666666666665,-0.10715708026524373,-0.12283177212187732,0.532724035929409
PITCHER,home_starter_prior_starts,663623,50,final_total,,,,ABSENT,0.2308659984542236,2.020408163265306,0.2364296222413025,0.21895483144991099,-0.011467339528094497
PITCHER,home_starter_prior_starts,663776,23,final_total,,,,ABSENT,0.16395200114520145,2.1363636363636362,0.21077934065470785,0.1742947475374784,0.8013229734115241
PITCHER,home_starter_prior_starts,663855,15,final_total,,,,ABSENT,0.49607222039382814,1.9285714285714286,0.46720154332790426,0.4442223875606603,0.9526161935702521
PITCHER,home_starter_prior_starts,663903,60,final_total,,,,ABSENT,-0.29232572028264464,1.9322033898305084,-0.17072353057497539,-0.18789355116214296,-0.6652988965221875
PITCHER,home_starter_prior_starts,663969,10,final_total,,,,ABSENT,-0.3019837449438963,2.0,-0.29253632378476135,-0.3086094038578268,0.5008620085785372
PITCHER,home_starter_prior_starts,663978,26,final_total,,,,ABSENT,0.17906795644093465,2.08,0.19657929150790024,0.1757776393034564,0.0025669824275645573
PITCHER,home_starter_prior_starts,664062,15,final_total,,,,ABSENT,0.04236405695031275,1.7857142857142858,0.10162244579736433,0.07902011083289268,0.840946509710528
PITCHER,home_starter_prior_starts,664285,56,final_total,,,,ABSENT,0.007754581815772824,2.0,0.058465904495578494,0.027372244370568365,0.30137878298814746
PITCHER,home_starter_prior_starts,664299,25,final_total,,,,ABSENT,-0.038106683655460105,2.0833333333333335,0.04233847033308781,0.003577552165034412,0.5102550728666068
PITCHER,home_starter_prior_starts,665152,45,final_total,,,,ABSENT,-0.10270459144856851,1.9772727272727273,-0.04395750146759758,-0.05778775747943877,-0.3808416626076517
PITCHER,home_starter_prior_starts,665622,12,final_total,,,,ABSENT,0.5304410556047708,2.0,0.5823890688588719,0.5728736630731771,-0.7558737934246783
PITCHER,home_starter_prior_starts,665795,41,final_total,,,,ABSENT,0.10630360179660335,1.95,0.14765414763407164,0.11351122857237511,-0.21068940492544846
PITCHER,home_starter_prior_starts,665871,26,final_total,,,,ABSENT,-0.12184014141089851,2.2,0.009317630502788759,-0.027923443109366612,0.051279238634686815
PITCHER,home_starter_prior_starts,666129,20,final_total,,,,ABSENT,0.22519565631827704,1.9473684210526316,0.20080059057459826,0.18303601509698292,0.09309619576692181
PITCHER,home_starter_prior_starts,666142,33,final_total,,,,ABSENT,-0.009788154429962531,2.0,0.03290642994329627,0.010273571514453548,0.5945423968350588
PITCHER,home_starter_prior_starts,666157,37,final_total,,,,ABSENT,-0.15999702842112987,1.8611111111111112,-0.0960805466832483,-0.1340994768928793,0.1278291348072123
PITCHER,home_starter_prior_starts,666200,53,final_total,,,,ABSENT,0.06824224086674117,1.8846153846153846,0.09553021537720251,0.05687347974210989,0.4985059910331749
PITCHER,home_starter_prior_starts,666201,11,final_total,,,,ABSENT,-0.3074696759454764,1.9,-0.2749119845273377,-0.2801624146360983,0.9241365971429206
